creatorLabel,datebirth,datedeath,placebirthLabel,coord,lat_long,placedeathLabel,coord_2,lat_long_2
Bramantino,1465-01-01T00:00:00Z,1530-01-01T00:00:00Z,Bergame,Point(9.67 45.695),"45.695, 9.67",Milan,,"45.464161, 9.190336"
Hans von Kulmbach,1480-01-01T00:00:00Z,1522-12-03T00:00:00Z,Kulmbach,Point(11.433333333 50.1),"50.1, 11.433333333333",Nuremberg,,"49.452777777778, 11.077777777778"
Parmigianino,1503-01-21T00:00:00Z,1540-09-03T00:00:00Z,Parme,Point(10.328 44.801472222),"44.801472222222, 10.328",Casalmaggiore,,"44.985833333333, 10.414722222222"
Parmigianino,1503-01-21T00:00:00Z,1540-09-03T00:00:00Z,Parme,Point(10.328 44.801472222),"44.801472222222, 10.328",Casalmaggiore,,"44.98981, 10.42055"
Palma le Vieux,1480-01-01T00:00:00Z,1528-07-30T00:00:00Z,Serina,Point(9.73333333 45.86666667),"45.86666667, 9.73333333",Venise,,"45.439722222222, 12.331944444444"
Bramantino,1465-01-01T00:00:00Z,1530-01-01T00:00:00Z,Milan,Point(9.190336 45.464161),"45.464161, 9.190336",Milan,,"45.464161, 9.190336"
Bramantino,1455-01-01T00:00:00Z,1530-01-01T00:00:00Z,Bergame,Point(9.67 45.695),"45.695, 9.67",Milan,,"45.464161, 9.190336"
Giorgione,1478-01-01T00:00:00Z,1510-01-01T00:00:00Z,Castelfranco Veneto,Point(11.933333333 45.666666666),"45.666666666667, 11.933333333333",Venise,,"45.439722222222, 12.331944444444"
Le Corrège,1489-08-01T00:00:00Z,1534-03-14T00:00:00Z,Correggio,Point(10.780555555 44.771666666),"44.771666666667, 10.780555555556",Buenos Aires,,"-34.599722222222, -58.381944444444"
Hans von Kulmbach,1476-01-01T00:00:00Z,1522-12-03T00:00:00Z,Kulmbach,Point(11.433333333 50.1),"50.1, 11.433333333333",Nuremberg,,"49.452777777778, 11.077777777778"
Pieter Brueghel l'Ancien,1520-01-01T00:00:00Z,1569-09-19T00:00:00Z,Brée,Point(5.583333333 51.133333333),"51.133333333333, 5.5833333333333",Bruxelles,,"50.8467, 4.3547"
Defendente Ferrari,1490-01-01T00:00:00Z,1540-11-12T00:00:00Z,Chivasso,Point(7.883333333 45.183333333),"45.183333333333, 7.8833333333333",Turin,,"45.066666666667, 7.7"
Titien,1490-01-01T00:00:00Z,1576-10-06T00:00:00Z,Pieve di Cadore,Point(12.366666666 46.433333333),"46.433333333333, 12.366666666667",Venise,,"45.439722222222, 12.331944444444"
Titien,1477-01-01T00:00:00Z,1576-10-06T00:00:00Z,Pieve di Cadore,Point(12.366666666 46.433333333),"46.433333333333, 12.366666666667",Venise,,"45.439722222222, 12.331944444444"
Sesshū,1420-01-01T00:00:00Z,1506-08-28T00:00:00Z,province de Bitchū,Point(133.510833333 34.8375),"34.8375, 133.51083333333",Yamaguchi,,"34.178055555556, 131.47388888889"
Jan Mandyn,1500-01-01T00:00:00Z,1560-01-01T00:00:00Z,Haarlem,Point(4.640555555 52.380277777),"52.380277777778, 4.6405555555556",Anvers,,"51.216666666667, 4.4"
Cima da Conegliano,1459-01-01T00:00:00Z,1517-01-01T00:00:00Z,Conegliano,Point(12.296944444 45.887222222),"45.887222222222, 12.296944444444",Conegliano,,"45.887222222222, 12.296944444444"
Pieter Brueghel l'Ancien,1525-01-01T00:00:00Z,1569-09-19T00:00:00Z,Bréda,Point(4.783333333 51.583333333),"51.583333333333, 4.7833333333333",Bruxelles,,"50.8467, 4.3547"
Paul Véronèse,1528-01-01T00:00:00Z,1588-04-19T00:00:00Z,Vérone,Point(10.993741666 45.438158333),"45.438158333333, 10.993741666667",Venise,,"45.439722222222, 12.331944444444"
Heinrich Vogtherr l'Ancien,1490-01-01T00:00:00Z,1556-01-01T00:00:00Z,Dillingen,Point(10.466666666 48.566666666),"48.566666666667, 10.466666666667",Vienne,,"48.20833, 16.373064"
Cosimo Rosselli,1439-01-01T00:00:00Z,1507-01-27T00:00:00Z,Florence,Point(11.254166666 43.771388888),"43.771388888889, 11.254166666667",Florence,,"43.771388888889, 11.254166666667"
Le Sodoma,1477-01-01T00:00:00Z,1549-02-14T00:00:00Z,Verceil,Point(8.416666666 45.316666666),"45.316666666667, 8.4166666666667",Sienne,,"43.318333333333, 11.331388888889"
Bernardino Luini,1475-01-01T00:00:00Z,1532-06-01T00:00:00Z,lac Majeur,Point(8.633333333 45.95),"45.95, 8.6333333333333",Milan,,"45.464161, 9.190336"
Bramantino,1465-01-01T00:00:00Z,1536-01-01T00:00:00Z,Bergame,Point(9.67 45.695),"45.695, 9.67",Milan,,"45.464161, 9.190336"
Bramantino,1465-01-01T00:00:00Z,1536-01-01T00:00:00Z,Milan,Point(9.190336 45.464161),"45.464161, 9.190336",Milan,,"45.464161, 9.190336"
Bramantino,1455-01-01T00:00:00Z,1536-01-01T00:00:00Z,Bergame,Point(9.67 45.695),"45.695, 9.67",Milan,,"45.464161, 9.190336"
Lorenzo di Credi,1459-01-01T00:00:00Z,1537-01-22T00:00:00Z,Florence,Point(11.254166666 43.771388888),"43.771388888889, 11.254166666667",Florence,,"43.771388888889, 11.254166666667"
"Agnolo di Cosimo di Mariano, dit Bronzino",1503-11-27T00:00:00Z,1572-12-03T00:00:00Z,Florence,Point(11.254166666 43.771388888),"43.771388888889, 11.254166666667",Florence,,"43.771388888889, 11.254166666667"
Giovanni Bellini,1430-01-01T00:00:00Z,1516-11-29T00:00:00Z,Venise,Point(12.331944444 45.439722222),"45.439722222222, 12.331944444444",Venise,,"45.439722222222, 12.331944444444"
