creatorLabel,datebirth,datedeath,placebirthLabel,coord,lat_long,placedeathLabel,coord_2,lat_long_2
Jorge Délano Frederick,1895-12-04T00:00:00Z,1980-07-09T00:00:00Z,Santiago,Point(-70.666666666 -33.45),"-33.45, -70.666666666667",Santiago,,"-33.45, -70.666666666667"
Wilhelm Uhde,1874-10-28T00:00:00Z,1947-08-17T00:00:00Z,Strzelce Krajeńskie,Point(15.516666666 52.883333333),"52.883333333333, 15.516666666667",Paris,,"48.856577777778, 2.3518277777778"
Aurelio Galleppini,1917-08-29T00:00:00Z,1994-03-10T00:00:00Z,Civitella Paganico,Point(11.281666666 42.995),"42.995, 11.281666666667",Chiavari,,"44.316411111111, 9.3237361111111"
Hermann Finsterlin,1887-08-18T00:00:00Z,1973-09-16T00:00:00Z,Munich,Point(11.566666666 48.133333333),"48.133333333333, 11.566666666667",Stuttgart,,"48.776111111111, 9.1775"
Frida Kahlo,1907-07-06T00:00:00Z,1954-07-13T00:00:00Z,Coyoacán,Point(-99.161666666 19.35),"19.35, -99.161666666667",Coyoacán,,"19.35, -99.161666666667"
Frida Kahlo,1907-07-06T00:00:00Z,1954-07-13T00:00:00Z,Coyoacán,Point(-99.161666666 19.35),"19.34678, -99.15968",Coyoacán,,"19.35, -99.161666666667"
Frida Kahlo,1907-07-06T00:00:00Z,1954-07-13T00:00:00Z,Coyoacán,Point(-99.161666666 19.35),"19.35, -99.161666666667",Coyoacán,,"19.34678, -99.15968"
Frida Kahlo,1907-07-06T00:00:00Z,1954-07-13T00:00:00Z,Coyoacán,Point(-99.161666666 19.35),"19.34678, -99.15968",Coyoacán,,"19.34678, -99.15968"
Andy Warhol,1928-08-06T00:00:00Z,1987-02-22T00:00:00Z,Pittsburgh,Point(-80.0 40.45),"40.45, -80",New York,,"40.67, -73.94"
Albert Anker,1831-04-01T00:00:00Z,1910-07-16T00:00:00Z,Anet,Point(7.1 47.0),"47, 7.1",Anet,,"47, 7.1"
August Strindberg,1849-01-22T00:00:00Z,1912-05-14T00:00:00Z,Stockholm,Point(18.068611111 59.329444444),"59.329444444444, 18.068611111111",Adolf Fredriks församling,,"59.33789, 18.06006"
August Strindberg,1849-01-22T00:00:00Z,1912-05-14T00:00:00Z,Stockholm,Point(18.068611111 59.329444444),"59.329444444444, 18.068611111111",Adolf Fredriks församling,,"59.33843889, 18.05877778"
Max Lingner,1888-11-17T00:00:00Z,1959-03-14T00:00:00Z,Leipzig,Point(12.383333333 51.333333333),"51.333333333333, 12.383333333333",Berlin,,"52.516666666667, 13.383333333333"
José María López Mezquita,1883-04-23T00:00:00Z,1954-12-06T00:00:00Z,Grenade,Point(-3.600833333 37.178055555),"37.178055555556, -3.6008333333333",Madrid,,"40.418888888889, -3.6919444444444"
Pablo Picasso,1881-10-25T00:00:00Z,1973-04-08T00:00:00Z,Málaga,Point(-4.416666666 36.716666666),"36.716666666667, -4.4166666666667",Mougins,,"43.6, 6.9947222222222"
Adolf Jobst,1900-05-10T00:00:00Z,1974-05-15T00:00:00Z,Český Krumlov,Point(14.31520771 48.810990441),"48.810990441614, 14.31520771066",Darmstadt,,"49.866666666667, 8.65"
Paul Schultze-Naumburg,1869-06-10T00:00:00Z,1949-05-19T00:00:00Z,Naumbourg,Point(11.816666666 51.15),"51.15, 11.816666666667",Iéna,,"50.927222222222, 11.586388888889"
René Magritte,1898-11-21T00:00:00Z,1967-08-15T00:00:00Z,Lessines,Point(3.83 50.7117),"50.7117, 3.83",Bruxelles,,"50.846666666667, 4.3525"
